NOME VINO,ANNO,PRODUTTORE,PROVENIENZA,FORNITORE,COSTO,VENDITA
METODO CLASSICO BDB VILLA AMAGIOIA,,Villa Amagioia,BOLOGNA,,,40
METODO CLASSICO DAMA BIANCA EXTRA DRY MILLESIMATO,,Fratta Minore,BOLOGNA,,,35
PIGNOLETTO BRUT BIO MONTEVECCHIO ISOLANI,,Montevecchio Isolani,BOLOGNA,,,30
LAMBRUSCO SECCO “CONCERTO” MEDICI ERMETE,,Medici Ermete,EMILIA-ROMAGNA,,,30
LAMBRUSCO AMABILE “QUERCIOLI” MEDICI ERMETE,,Medici Ermete,EMILIA-ROMAGNA,,,30
FRANCIACORTA BRUT BLANC DE BLANCS “FRECCIANERA”,,Fratelli Berlucchi,LOMBARDIA,,,40
FRANCIACORTA BRUT ROSÉ MILLESIMATO “FRECCIANERA”,,Fratelli Berlucchi,LOMBARDIA,,,50
FRANCIACORTA BRUT NATURE DOCG ENRICO GATTI,,Enrico Gatti,LOMBARDIA,,,50
FRANCIACORTA BRUT SATÈN MILLESIMATO DOCG ENRICO GATTI,,Enrico Gatti,LOMBARDIA,,,60
FRANCIACORTA BRUT MAGNUM “FRECCIANERA” BLANC DE BLANCS,,Fratelli Berlucchi,LOMBARDIA,,,85
TRENTO DOC BLANC DE BLANCS MASO MARTIS,,Maso Martis,TRENTINO,,,40
BRUT ROSÉ METODO CLASSICO POJER E SANDRI,,Pojer e Sandri,TRENTINO,,,45
